0
"(datetime.datetime(2023, 1, 8, 10, 46, 53), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 65, OLD VALUE = 60')"
"(datetime.datetime(2023, 1, 8, 10, 47, 24), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 74.81, OLD VALUE = 65')"
"(datetime.datetime(2023, 1, 8, 10, 48, 23), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 84.59, OLD VALUE = 74.81')"
"(datetime.datetime(2023, 1, 8, 10, 49, 53), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 85.59, OLD VALUE = 84.59')"
"(datetime.datetime(2023, 1, 8, 11, 4, 23), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = ROUT, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 18, 33, 25), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = ROUT')"
"(datetime.datetime(2023, 1, 8, 18, 33, 29), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 27, OLD VALUE = 26')"
"(datetime.datetime(2023, 1, 8, 18, 33, 31), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 28, OLD VALUE = 27')"
"(datetime.datetime(2023, 1, 8, 18, 33, 36), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 29, OLD VALUE = 28')"
"(datetime.datetime(2023, 1, 8, 18, 33, 39), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 30, OLD VALUE = 29')"
"(datetime.datetime(2023, 1, 8, 18, 33, 43), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 31, OLD VALUE = 30')"
"(datetime.datetime(2023, 1, 8, 18, 33, 46), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 32, OLD VALUE = 31')"
"(datetime.datetime(2023, 1, 8, 18, 33, 51), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 33, OLD VALUE = 32')"
"(datetime.datetime(2023, 1, 8, 18, 33, 57), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 34, OLD VALUE = 33')"
"(datetime.datetime(2023, 1, 8, 18, 34, 2), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 35, OLD VALUE = 34')"
"(datetime.datetime(2023, 1, 8, 18, 34, 8), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 36, OLD VALUE = 35')"
"(datetime.datetime(2023, 1, 8, 18, 34, 9), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 37, OLD VALUE = 36')"
"(datetime.datetime(2023, 1, 8, 18, 36, 1), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 38, OLD VALUE = 37')"
"(datetime.datetime(2023, 1, 8, 18, 36, 2), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 39, OLD VALUE = 38')"
"(datetime.datetime(2023, 1, 8, 18, 36, 2), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 39, OLD VALUE = 39')"
"(datetime.datetime(2023, 1, 8, 18, 36, 6), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 40, OLD VALUE = 39')"
"(datetime.datetime(2023, 1, 8, 18, 36, 15), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 41, OLD VALUE = 40')"
"(datetime.datetime(2023, 1, 8, 18, 36, 19), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 42, OLD VALUE = 41')"
"(datetime.datetime(2023, 1, 8, 18, 37, 45), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 43, OLD VALUE = 42')"
"(datetime.datetime(2023, 1, 8, 18, 37, 46), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 44, OLD VALUE = 43')"
"(datetime.datetime(2023, 1, 8, 18, 37, 47), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 44, OLD VALUE = 44')"
"(datetime.datetime(2023, 1, 8, 18, 37, 47), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 45, OLD VALUE = 44')"
"(datetime.datetime(2023, 1, 8, 18, 37, 48), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 45, OLD VALUE = 45')"
"(datetime.datetime(2023, 1, 8, 18, 37, 49), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 46, OLD VALUE = 45')"
"(datetime.datetime(2023, 1, 8, 18, 37, 52), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 47, OLD VALUE = 46')"
"(datetime.datetime(2023, 1, 8, 18, 37, 56), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 48, OLD VALUE = 47')"
"(datetime.datetime(2023, 1, 8, 18, 37, 57), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 48, OLD VALUE = 48')"
"(datetime.datetime(2023, 1, 8, 18, 38, 18), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 49, OLD VALUE = 48')"
"(datetime.datetime(2023, 1, 8, 18, 38, 18), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 50, OLD VALUE = 49')"
"(datetime.datetime(2023, 1, 8, 18, 38, 19), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 51, OLD VALUE = 50')"
"(datetime.datetime(2023, 1, 8, 18, 38, 21), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 52, OLD VALUE = 51')"
"(datetime.datetime(2023, 1, 8, 18, 38, 25), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 53, OLD VALUE = 52')"
"(datetime.datetime(2023, 1, 8, 18, 38, 27), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 54, OLD VALUE = 53')"
"(datetime.datetime(2023, 1, 8, 18, 39, 41), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 55, OLD VALUE = 54')"
"(datetime.datetime(2023, 1, 8, 18, 39, 42), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 56, OLD VALUE = 55')"
